year,global_avg_temp,city_avg_temp
1796,8.27,25.03
1797,8.51,26.71
1798,8.67,24.29
1799,8.51,25.28
1800,8.48,25.21
1801,8.59,24.22
1802,8.58,25.63
1803,8.5,25.38
1804,8.84,25.68
1805,8.56,25.3
1806,8.43,25.22
1807,8.28,24.97
1808,7.63,
1809,7.08,
1810,6.92,
1811,6.86,
1812,7.05,
1813,7.74,24.56
1814,7.59,23.73
1815,7.24,24.09
1816,6.94,23.7
1817,6.98,23.86
1818,7.83,24.37
1819,7.37,23.9
1820,7.62,24.12
1821,8.09,24.83
1822,8.19,24.93
1823,7.72,24.63
1824,8.55,25.3
1825,8.39,25.11
1826,8.36,25.12
1827,8.81,25.36
1828,8.17,24.9
1829,7.94,24.71
1830,8.52,25.07
1831,7.64,24.43
1832,7.45,24.62
1833,8.01,24.85
1834,8.15,24.82
1835,7.39,23.9
1836,7.7,24.54
1837,7.38,24.42
1838,7.51,24.38
1839,7.63,24.45
1840,7.8,24.72
1841,7.69,24.49
1842,8.02,24.78
1843,8.17,24.75
1844,7.65,24.36
1845,7.85,24.6
1846,8.55,25.16
1847,8.09,24.66
1848,7.98,24.45
1849,7.98,24.49
1850,7.9,24.78
1851,8.18,24.76
1852,8.1,24.65
1853,8.04,24.88
1854,8.21,25.02
1855,8.11,25.24
1856,8,23.86
1857,7.76,24.3
1858,8.1,
1859,8.25,
1860,7.96,
1861,7.85,
1862,7.56,
1863,8.11,
1864,7.98,
1865,8.18,
1866,8.29,
1867,8.44,
1868,8.25,
1869,8.43,
1870,8.2,24.89
1871,8.12,24.88
1872,8.19,24.94
1873,8.35,25.06
1874,8.43,24.25
1875,7.86,25.38
1876,8.08,24.93
1877,8.54,25.08
1878,8.83,25.18
1879,8.17,24.86
1880,8.12,25.45
1881,8.27,25.09
1882,8.13,24.89
1883,7.98,24.82
1884,7.77,24.67
1885,7.92,24.38
1886,7.95,24.89
1887,7.91,24.9
1888,8.09,24.88
1889,8.32,25.21
1890,7.97,25.06
1891,8.02,24.68
1892,8.07,25.49
1893,8.06,23.84
1894,8.16,24.74
1895,8.15,25.15
1896,8.21,25.83
1897,8.29,25.39
1898,8.18,25.55
1899,8.4,25.86
1900,8.5,25.56
1901,8.54,25.49
1902,8.3,25.66
1903,8.22,25.14
1904,8.09,25.07
1905,8.23,24.75
1906,8.38,25.17
1907,7.95,25.02
1908,8.19,25.14
1909,8.18,24.75
1910,8.22,24.81
1911,8.18,25.36
1912,8.17,25.25
1913,8.3,24.94
1914,8.59,25.12
1915,8.59,25.73
1916,8.23,25.07
1917,8.02,23.84
1918,8.13,25.28
1919,8.38,24.84
1920,8.36,24.99
1921,8.57,26.04
1922,8.41,25.18
1923,8.42,25.26
1924,8.51,24.98
1925,8.53,24.85
1926,8.73,24.78
1927,8.52,24.73
1928,8.63,25.65
1929,8.24,25.39
1930,8.63,25.1
1931,8.72,25.58
1932,8.71,25.63
1933,8.34,24.52
1934,8.63,24.96
1935,8.52,24.81
1936,8.55,24.76
1937,8.7,24.81
1938,8.86,25.36
1939,8.76,25.24
1940,8.76,25.07
1941,8.77,26.3
1942,8.73,25.4
1943,8.76,25.25
1944,8.85,24.98
1945,8.58,24.78
1946,8.68,25.47
1947,8.8,25.72
1948,8.75,25.45
1949,8.59,25.6
1950,8.37,24.66
1951,8.63,25.58
1952,8.64,25.84
1953,8.87,26.14
1954,8.56,25.68
1955,8.63,25.15
1956,8.28,25.3
1957,8.73,24.91
1958,8.77,25.93
1959,8.73,25.56
1960,8.58,25.53
1961,8.8,24.8
1962,8.75,25.18
1963,8.86,25.46
1964,8.41,25.05
1965,8.53,25.26
1966,8.6,25.52
1967,8.7,24.98
1968,8.52,25.02
1969,8.6,25.8
1970,8.7,25.39
1971,8.6,24.81
1972,8.5,25.42
1973,8.95,25.56
1974,8.47,25.52
1975,8.74,25.02
1976,8.35,25.33
1977,8.85,25.41
1978,8.69,25.21
1979,8.73,25.81
1980,8.98,26.02
1981,9.17,25.79
1982,8.64,25.18
1983,9.03,24.75
1984,8.69,25.56
1985,8.66,25.86
1986,8.83,25.31
1987,8.99,26.54
1988,9.2,26.11
1989,8.92,25.43
1990,9.23,25.54
1991,9.18,25.74
1992,8.84,25.52
1993,8.87,25.92
1994,9.04,25.87
1995,9.35,25.92
1996,9.04,25.55
1997,9.2,24.71
1998,9.52,25.77
1999,9.29,26.36
2000,9.2,26.05
2001,9.41,25.86
2002,9.57,26.63
2003,9.53,25.72
2004,9.32,26.24
2005,9.7,25.72
2006,9.53,26.37
2007,9.73,26.15
2008,9.43,25.68
2009,9.51,26.55
2010,9.7,26.52
2011,9.52,25.63
2012,9.51,25.89
2013,9.61,26.71
